DATAFLOW,LAST UPDATE,freq,unit,sex,indic_he,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2004,60.4,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2005,59.8,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2006,61.0,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2007,61.4,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2008,59.9,b,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2009,60.8,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2010,60.8,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2011,60.1,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2012,62.5,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2013,60.2,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2014,57.8,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2015,58.1,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2016,57.1,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2017,56.8,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2018,57.0,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2019,58.0,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2020,59.3,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2021,61.3,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2022,61.3,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2023,60.5,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2004,58.4,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2005,62.3,b,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2006,63.2,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2007,63.9,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2008,64.1,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2009,63.8,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2010,62.6,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2011,63.6,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2012,65.0,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2013,63.7,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2014,63.7,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2015,64.0,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2016,63.7,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2017,64.0,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2018,63.7,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2019,62.8,b,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2020,64.0,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2021,64.4,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2022,63.3,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2023,63.5,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Bulgaria,2006,71.9,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Bulgaria,2007,73.9,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Bulgaria,2008,65.7,b,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Bulgaria,2009,65.8,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Bulgaria,2010,67.1,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Bulgaria,2011,65.9,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Bulgaria,2012,65.7,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Bulgaria,2013,66.6,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Bulgaria,2014,66.1,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Bulgaria,2015,65.0,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Bulgaria,2016,67.5,b,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Bulgaria,2017,66.2,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Bulgaria,2018,67.6,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Bulgaria,2019,68.4,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Bulgaria,2020,67.8,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Bulgaria,2021,65.1,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Bulgaria,2022,68.9,b,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Bulgaria,2023,71.0,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Switzerland,2007,63.6,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Switzerland,2008,64.6,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Switzerland,2009,63.0,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Switzerland,2010,63.3,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Switzerland,2011,64.7,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Switzerland,2012,67.6,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Switzerland,2013,58.4,b,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Switzerland,2014,56.7,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Switzerland,2015,57.8,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Switzerland,2016,57.7,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Switzerland,2017,59.4,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Switzerland,2018,59.5,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Switzerland,2019,60.0,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Switzerland,2020,60.7,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Switzerland,2021,59.3,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Switzerland,2022,56.7,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Switzerland,2023,55.4,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,2005,58.2,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,2006,63.3,b,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,2007,62.8,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,2008,64.5,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,2009,65.3,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,2010,64.2,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,2011,61.0,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,2012,64.0,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,2013,65.0,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,2014,66.1,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,2015,63.4,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,2016,68.8,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,2017,65.8,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,2018,62.4,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,2019,63.0,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,2020,63.1,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,2021,66.8,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,2022,66.3,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,2023,65.7,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Czechia,2005,60.0,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Czechia,2006,59.9,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Czechia,2007,63.3,b,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Czechia,2008,63.4,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Czechia,2009,62.7,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Czechia,2010,64.5,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Czechia,2011,63.6,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Czechia,2012,64.1,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Czechia,2013,64.2,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Czechia,2014,65.0,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Czechia,2015,63.7,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Czechia,2016,64.0,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Czechia,2017,62.4,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Czechia,2018,63.4,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Czechia,2019,62.6,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Czechia,2020,62.5,,
ESTAT:HLTH_HLYE(1.0),04/07/25 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Czechia,2021,63.4,,
