DATAFLOW,LAST UPDATE,freq,ind_type,unit,indic_is,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TIN00028(1.0),16/12/25 11:00:00,Annual,All individuals,Percentage of individuals,Last internet use: in the last 12 months,Albania,2018,64.99,,
ESTAT:TIN00028(1.0),16/12/25 11:00:00,Annual,All individuals,Percentage of individuals,Last internet use: in the last 12 months,Albania,2019,69.64,,
ESTAT:TIN00028(1.0),16/12/25 11:00:00,Annual,All individuals,Percentage of individuals,Last internet use: in the last 12 months,Albania,2020,73.93,,
ESTAT:TIN00028(1.0),16/12/25 11:00:00,Annual,All individuals,Percentage of individuals,Last internet use: in the last 12 months,Albania,2021,80.12,,
ESTAT:TIN00028(1.0),16/12/25 11:00:00,Annual,All individuals,Percentage of individuals,Last internet use: in the last 12 months,Albania,2022,85.82,,
ESTAT:TIN00028(1.0),16/12/25 11:00:00,Annual,All individuals,Percentage of individuals,Last internet use: in the last 12 months,Albania,2023,85.61,,
ESTAT:TIN00028(1.0),16/12/25 11:00:00,Annual,All individuals,Percentage of individuals,Last internet use: in the last 12 months,Albania,2024,88.44,,
ESTAT:TIN00028(1.0),16/12/25 11:00:00,Annual,All individuals,Percentage of individuals,Last internet use: in the last 12 months,Austria,2014,82.46,,
ESTAT:TIN00028(1.0),16/12/25 11:00:00,Annual,All individuals,Percentage of individuals,Last internet use: in the last 12 months,Austria,2015,84.63,,
ESTAT:TIN00028(1.0),16/12/25 11:00:00,Annual,All individuals,Percentage of individuals,Last internet use: in the last 12 months,Austria,2016,85.11,,
ESTAT:TIN00028(1.0),16/12/25 11:00:00,Annual,All individuals,Percentage of individuals,Last internet use: in the last 12 months,Austria,2017,88.39,,
ESTAT:TIN00028(1.0),16/12/25 11:00:00,Annual,All individuals,Percentage of individuals,Last internet use: in the last 12 months,Austria,2018,87.82,,
ESTAT:TIN00028(1.0),16/12/25 11:00:00,Annual,All individuals,Percentage of individuals,Last internet use: in the last 12 months,Austria,2019,88.49,,
ESTAT:TIN00028(1.0),16/12/25 11:00:00,Annual,All individuals,Percentage of individuals,Last internet use: in the last 12 months,Austria,2020,89.01,,
ESTAT:TIN00028(1.0),16/12/25 11:00:00,Annual,All individuals,Percentage of individuals,Last internet use: in the last 12 months,Austria,2021,92.92,,
ESTAT:TIN00028(1.0),16/12/25 11:00:00,Annual,All individuals,Percentage of individuals,Last internet use: in the last 12 months,Austria,2022,94.16,,
ESTAT:TIN00028(1.0),16/12/25 11:00:00,Annual,All individuals,Percentage of individuals,Last internet use: in the last 12 months,Austria,2023,95.72,,
ESTAT:TIN00028(1.0),16/12/25 11:00:00,Annual,All individuals,Percentage of individuals,Last internet use: in the last 12 months,Austria,2024,95.34,,
ESTAT:TIN00028(1.0),16/12/25 11:00:00,Annual,All individuals,Percentage of individuals,Last internet use: in the last 12 months,Austria,2025,95.62,,
ESTAT:TIN00028(1.0),16/12/25 11:00:00,Annual,All individuals,Percentage of individuals,Last internet use: in the last 12 months,Bosnia and Herzegovina,2018,71.82,,
ESTAT:TIN00028(1.0),16/12/25 11:00:00,Annual,All individuals,Percentage of individuals,Last internet use: in the last 12 months,Bosnia and Herzegovina,2019,70.89,,
ESTAT:TIN00028(1.0),16/12/25 11:00:00,Annual,All individuals,Percentage of individuals,Last internet use: in the last 12 months,Bosnia and Herzegovina,2020,74.36,,
ESTAT:TIN00028(1.0),16/12/25 11:00:00,Annual,All individuals,Percentage of individuals,Last internet use: in the last 12 months,Bosnia and Herzegovina,2021,76.67,,
ESTAT:TIN00028(1.0),16/12/25 11:00:00,Annual,All individuals,Percentage of individuals,Last internet use: in the last 12 months,Bosnia and Herzegovina,2023,84.01,,
ESTAT:TIN00028(1.0),16/12/25 11:00:00,Annual,All individuals,Percentage of individuals,Last internet use: in the last 12 months,Bosnia and Herzegovina,2024,86.72,,
ESTAT:TIN00028(1.0),16/12/25 11:00:00,Annual,All individuals,Percentage of individuals,Last internet use: in the last 12 months,Bosnia and Herzegovina,2025,90.35,,
ESTAT:TIN00028(1.0),16/12/25 11:00:00,Annual,All individuals,Percentage of individuals,Last internet use: in the last 12 months,Belgium,2014,86.15,,
ESTAT:TIN00028(1.0),16/12/25 11:00:00,Annual,All individuals,Percentage of individuals,Last internet use: in the last 12 months,Belgium,2015,86.06,,
ESTAT:TIN00028(1.0),16/12/25 11:00:00,Annual,All individuals,Percentage of individuals,Last internet use: in the last 12 months,Belgium,2016,87.31,,
ESTAT:TIN00028(1.0),16/12/25 11:00:00,Annual,All individuals,Percentage of individuals,Last internet use: in the last 12 months,Belgium,2017,88.83,,
ESTAT:TIN00028(1.0),16/12/25 11:00:00,Annual,All individuals,Percentage of individuals,Last internet use: in the last 12 months,Belgium,2018,89.93,,
ESTAT:TIN00028(1.0),16/12/25 11:00:00,Annual,All individuals,Percentage of individuals,Last internet use: in the last 12 months,Belgium,2019,91.41,,
ESTAT:TIN00028(1.0),16/12/25 11:00:00,Annual,All individuals,Percentage of individuals,Last internet use: in the last 12 months,Belgium,2020,92.16,,
ESTAT:TIN00028(1.0),16/12/25 11:00:00,Annual,All individuals,Percentage of individuals,Last internet use: in the last 12 months,Belgium,2021,93.62,,
