DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Albania,2013,79.6,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Albania,2014,79.8,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Albania,2015,79.2,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Albania,2016,79.8,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Albania,2017,79.7,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Albania,2018,80.2,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Albania,2019,80.4,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Albania,2020,79.4,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Albania,2021,77.2,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Albania,2022,80.3,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Armenia,2006,75.9,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Armenia,2007,76.5,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Armenia,2008,76.4,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Armenia,2009,76.5,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Armenia,2015,77.9,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Armenia,2016,78.0,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Armenia,2017,78.5,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Armenia,2018,79.2,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Armenia,2019,79.1,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Austria,2000,80.6,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Austria,2001,81.0,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Austria,2002,81.0,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Austria,2003,80.8,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Austria,2004,81.4,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Austria,2005,81.6,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Austria,2006,82.0,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Austria,2007,82.3,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Austria,2008,82.5,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Austria,2009,82.5,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Austria,2010,82.8,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Austria,2011,83.1,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Austria,2012,82.8,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Austria,2013,83.0,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Austria,2014,83.3,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Austria,2015,83.0,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Austria,2016,83.4,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Austria,2017,83.2,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Austria,2018,83.3,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Austria,2019,83.5,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Austria,2020,82.9,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Austria,2021,82.9,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Austria,2022,82.8,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Austria,2023,83.4,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Azerbaijan,2006,75.1,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Azerbaijan,2007,75.4,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Azerbaijan,2008,76.1,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Azerbaijan,2009,76.1,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Azerbaijan,2010,75.8,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Azerbaijan,2012,76.5,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Azerbaijan,2013,76.9,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Azerbaijan,2014,77.0,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Azerbaijan,2015,77.5,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Azerbaijan,2017,77.7,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Azerbaijan,2018,78.1,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Azerbaijan,2019,78.6,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Belgium,2000,80.4,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Belgium,2001,80.6,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Belgium,2002,80.5,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Belgium,2003,80.4,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Belgium,2004,81.2,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Belgium,2005,81.1,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Belgium,2006,81.6,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Belgium,2007,81.9,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Belgium,2008,81.8,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Belgium,2009,82.1,,
ESTAT:DEMO_MLEXPEC(1.0),11/09/25 11:00:00,Annual,Year,Females,1 year,Belgium,2010,82.2,,
