DATAFLOW,LAST UPDATE,freq,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Austria,2004,23.9,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Austria,2005,24.1,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Austria,2006,24.1,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Austria,2007,24.0,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Austria,2008,24.2,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Austria,2009,24.1,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Austria,2010,24.3,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Austria,2011,24.2,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Austria,2012,24.2,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Austria,2013,24.2,b,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Austria,2014,24.2,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Austria,2015,24.3,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Austria,2016,24.2,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Austria,2017,24.4,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Austria,2018,24.8,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Austria,2019,24.6,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Austria,2020,24.6,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Austria,2021,24.4,b,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Austria,2022,24.4,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Austria,2023,24.5,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Austria,2024,24.4,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Belgium,2000,23.4,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Belgium,2001,24.9,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Belgium,2002,24.9,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Belgium,2003,24.9,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Belgium,2004,24.5,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Belgium,2005,24.4,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Belgium,2006,24.5,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Belgium,2007,24.4,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Belgium,2008,24.4,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Belgium,2009,24.4,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Belgium,2010,24.4,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Belgium,2011,24.5,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Belgium,2012,24.1,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Belgium,2013,24.1,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Belgium,2014,24.2,,
