DATAFLOW,LAST UPDATE,freq,unit,indic_il,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Albania,2017,23.9,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Albania,2018,23.8,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Albania,2019,23.8,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Albania,2020,22.3,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Albania,2021,22.5,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Albania,2022,21.1,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Albania,2023,20.2,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Austria,2005,13.3,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Austria,2006,14.0,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Austria,2007,13.3,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Austria,2008,16.1,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Austria,2009,15.3,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Austria,2010,15.8,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Austria,2011,15.0,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Austria,2012,15.3,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Austria,2013,15.2,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Austria,2014,14.9,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Austria,2015,14.3,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Austria,2016,14.6,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Austria,2017,15.3,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Austria,2018,15.2,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Austria,2019,14.3,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Austria,2020,14.3,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Austria,2021,15.3,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Austria,2022,15.2,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Austria,2023,15.8,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Austria,2024,15.5,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Belgium,2005,15.5,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Belgium,2006,15.6,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Belgium,2007,15.9,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Belgium,2008,15.9,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Belgium,2009,15.7,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Belgium,2010,15.2,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Belgium,2011,16.0,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Belgium,2012,15.9,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Belgium,2013,15.5,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Belgium,2014,15.9,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Belgium,2015,15.6,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Belgium,2016,16.6,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Belgium,2017,17.0,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Belgium,2018,17.1,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Belgium,2019,15.1,b,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Belgium,2020,14.4,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Belgium,2021,13.2,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Belgium,2022,13.4,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Belgium,2023,12.6,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Belgium,2024,11.3,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Bulgaria,2006,19.3,b,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Bulgaria,2007,23.0,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Bulgaria,2008,22.9,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Bulgaria,2009,23.7,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Bulgaria,2010,22.3,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Bulgaria,2011,23.6,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Bulgaria,2012,22.8,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Bulgaria,2013,22.2,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Bulgaria,2014,22.6,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Bulgaria,2015,23.8,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Bulgaria,2016,24.1,b,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Bulgaria,2017,24.9,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Bulgaria,2018,23.4,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Bulgaria,2019,24.3,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Bulgaria,2020,25.8,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Bulgaria,2021,23.9,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Bulgaria,2022,25.8,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Bulgaria,2023,21.3,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Bulgaria,2024,22.6,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Switzerland,2007,16.0,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Switzerland,2008,17.3,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Switzerland,2009,17.2,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Switzerland,2010,16.2,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Switzerland,2011,16.3,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Switzerland,2012,17.4,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Switzerland,2013,15.5,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Switzerland,2014,15.1,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Switzerland,2015,16.8,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Switzerland,2016,15.6,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Switzerland,2017,16.1,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Switzerland,2018,15.0,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Switzerland,2019,16.2,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Switzerland,2020,16.0,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Switzerland,2021,15.7,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Switzerland,2022,16.3,,
