DATAFLOW,LAST UPDATE,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Austria,2009,5.3,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Austria,2010,4.9,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Austria,2011,4.8,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Austria,2012,5.0,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Austria,2013,5.5,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Austria,2014,5.6,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Austria,2015,5.6,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Austria,2016,5.8,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Austria,2017,5.3,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Austria,2018,4.9,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Austria,2019,4.6,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Austria,2020,5.9,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Austria,2021,6.1,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Austria,2022,4.5,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Austria,2023,4.9,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Austria,2024,4.7,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Bosnia and Herzegovina,2021,22.0,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Bosnia and Herzegovina,2022,19.8,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Bosnia and Herzegovina,2023,16.7,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Bosnia and Herzegovina,2024,16.6,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Belgium,2009,8.2,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Belgium,2010,8.6,,
